"Carlsen, M",2852,"Hammer, J",2630,1-0,44,A06,2023,TCh-NOR Elite 2022-23,
"Carlsen, M",2852,"Tallaksen, L",2326,1-0,44,C84,2023,TCh-NOR Elite 2022-23,
"Erigaisi Arjun,",2722,"Carlsen, M",2859,0-1,56,A05,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Praggnanandhaa R,",2684,½-½,67,A35,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"So, W",2760,½-½,58,E42,2023,85th Tata Steel Masters,
"Maghsoodloo, P",2719,"Carlsen, M",2859,0-1,56,D35,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Gukesh D,",2725,½-½,46,D38,2023,85th Tata Steel Masters,
"Caruana, F",2766,"Carlsen, M",2859,0-1,33,C88,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Rapport, R",2740,1-0,36,C42,2023,85th Tata Steel Masters,
"Van Foreest, J",2681,"Carlsen, M",2859,½-½,54,B47,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Abdusattorov, N",2713,0-1,60,A35,2023,85th Tata Steel Masters,
"Giri, A",2764,"Carlsen, M",2859,1-0,35,E15,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Ding, L",2811,½-½,37,D02,2023,85th Tata Steel Masters,
"Keymer, V",2696,"Carlsen, M",2859,0-1,65,D91,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Aronian, L",2735,½-½,41,E06,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Abdusattorov, N",2713,1-0,38,C77,2022,World Blitz 2022,
"Carlsen, M",2859,"Martirosyan, H",2682,1-0,32,A01,2022,World Blitz 2022,
"Carlsen, M",2859,"Madaminov, M",2438,1-0,67,D76,2022,World Blitz 2022,
"Carlsen, M",2859,"Keymer, V",2696,1-0,28,A06,2022,World Blitz 2022,
"Carlsen, M",2859,"Rapport, R",2740,1-0,71,C18,2022,World Blitz 2022,
"Caruana, F",2766,"Carlsen, M",2859,0-1,50,C88,2022,World Blitz 2022,
"Nepomniachtchi, I",2793,"Carlsen, M",2859,1-0,40,C65,2022,World Blitz 2022,
"Shimanov, A",2581,"Carlsen, M",2859,0-1,42,C11,2022,World Blitz 2022,
"Sarana, A",2668,"Carlsen, M",2859,1-0,24,D35,2022,World Blitz 2022,
"Carlsen, M",2859,"Tomashevsky, E",2694,1-0,27,C65,2022,World Blitz 2022,
"Carlsen, M",2859,"Fedoseev, V",2688,½-½,42,E06,2022,World Blitz 2022,
"Carlsen, M",2859,"Mamedyarov, S",2740,½-½,38,C80,2022,World Blitz 2022,
"Carlsen, M",2859,"Tsydypov, Z",2534,1-0,39,A01,2022,World Blitz 2022,
"Carlsen, M",2859,"Yu, Y",2728,½-½,46,E10,2022,World Blitz 2022,
"Dubov, D",2708,"Carlsen, M",2859,½-½,30,A46,2022,World Blitz 2022,
"Giri, A",2764,"Carlsen, M",2859,0-1,41,C18,2022,World Blitz 2022,
"Nakamura, H",2768,"Carlsen, M",2859,½-½,21,D41,2022,World Blitz 2022,
"Duda, J",2729,"Carlsen, M",2859,0-1,54,B06,2022,World Blitz 2022,
"Cheparinov, I",2688,"Carlsen, M",2859,0-1,53,E06,2022,World Blitz 2022,
"Kovalev, V",2623,"Carlsen, M",2859,0-1,59,C01,2022,World Blitz 2022,
"Artemiev, V",2701,"Carlsen, M",2859,½-½,20,E37,2022,World Blitz 2022,
"Carlsen, M",2859,"Maghsoodloo, P",2719,1-0,28,B67,2022,World Rapid 2022,
"Carlsen, M",2859,"Keymer, V",2696,1-0,48,E04,2022,World Rapid 2022,
"Carlsen, M",2859,"Caruana, F",2766,½-½,31,E10,2022,World Rapid 2022,
"Artemiev, V",2701,"Carlsen, M",2859,1-0,34,E11,2022,World Rapid 2022,
"Carlsen, M",2852,"Tallaksen, L",2326,1-0,44,C84,2023,TCh-NOR Elite 2022-23,
"Erigaisi Arjun,",2722,"Carlsen, M",2859,0-1,56,A05,2023,85th Tata Steel Masters,
"Carlsen, M",2859,"Praggnanandhaa R,",2684,½-½,67,A35,2023,85th Tata Steel Masters,
